PRODUCT,PROGRAMMING,SPORT,LEAGUE,SHOW_TITLE
Peacock,PROFESSIONAL,Soccer,Premier League,LOWE DOWN: PREMIER LEAGUE FAN FEST PREVIEW
NBC Sports App TVE,PROFESSIONAL,Soccer,Premier League,WONDERKID WATCH: ALL HIGHLIGHTS FROM MATCHWEEK 26
Peacock,PROFESSIONAL,Soccer,Premier League,EXTENDED HLS: ARSENAL V. NEWCASTLE MATCHWEEK 26
Peacock,COLLEGE,Football,NCAA-BIG10,INDIANA VS. MICHIGAN - 2024-03-18
Peacock,PROFESSIONAL,Soccer,Premier League,GUSTO IS GOING TO BE A 'FUTURE STAR' AT CHELSEA
NBC Sports App TVE,PROFESSIONAL,Basketball,NBA,LOS ANGELES CLIPPERS AT CHICAGO BULLS
Peacock,PROFESSIONAL,Soccer,Premier League,ARSENAL V. MAN UNITED (ESPAÑOL)
NBC App,PROFESSIONAL,Basketball,NBA,THE HUMAN DART
Peacock,PROFESSIONAL,Soccer,Premier League,PL REWIND
Peacock,PROFESSIONAL,Soccer,Premier League,FULHAM V. BRIGHTON
Peacock,COLLEGE,Football,NCAA-BIG10,MINNESOTA VS. MICHIGAN - 2024-03-19
Bravo App,PROFESSIONAL,Golf,PGA,FINAL ROUND
Peacock,COLLEGE,Football,NCAA-BIG10,MAINE VS. MINNESOTA - 2024-03-18
NBC App,PROFESSIONAL,Golf,Ladies European Tour,"ARAMCO TEAM SERIES - TAMPA, SECOND ROUND"
Peacock,PROFESSIONAL,Soccer,Premier League,CHELSEA GREEN ELIMINATED IN FIVE SECONDS!
Peacock,PROFESSIONAL,Soccer,Premier League,POPE'S FIRST-PERSON POV OF NEWCASTLE GK TRAINING
NBC App,PROFESSIONAL,Basketball,NBA,LOS ANGELES LAKERS VS. SACRAMENTO KINGS
Peacock,PROFESSIONAL,Soccer,Premier League,EXTENDED HLS: CRYSTAL PALACE V. LUTON TOWN MWK 28
Peacock,PROFESSIONAL,Soccer,Premier League,PL UPDATE: NEWCASTLE TOPPLE ASTON VILLA
Peacock,COLLEGE,Football,NCAA-BIG10,OHIO STATE VS. WISCONSIN - 2024-03-19
NBC Sports App TVE,PROFESSIONAL,Basketball,NBA,HOUSTON ROCKETS VS. SACRAMENTO KINGS
Peacock,PROFESSIONAL,Soccer,Premier League,SERGIO AGUERO
Peacock,PROFESSIONAL,Soccer,Premier League,FULHAM V. LEEDS UNITED HIGHLIGHTS
usanetwork.com,PROFESSIONAL,Golf,Ladies European Tour,"ARAMCO TEAM SERIES - TAMPA, SECOND ROUND"
NBC App,PROFESSIONAL,Basketball,NBA,PHILADELPHIA 76ERS AT MILWAUKEE BUCKS
Peacock,PROFESSIONAL,Soccer,Premier League,CASH EXPLAINS HOW EMERY APPROACHES TRAINING
NBC Sports App TVE,PROFESSIONAL,Basketball,NBA,SACRAMENTO KINGS AT CHARLOTTE HORNETS
NBC Sports App TVE,PROFESSIONAL,Golf,PGA,"PUERTO RICO OPEN, THIRD ROUND"
NBC App,PROFESSIONAL,Basketball,NBA,DUBS TALK LIVE
Peacock,PROFESSIONAL,Soccer,Premier League,"PL RAW: LIVERPOOL, MAN CITY KEEP TITLE HOPES ALIVE"
Peacock,COLLEGE,Football,NCAA-BIG10,MICHIGAN VS. OHIO STATE - 2024-03-19
Peacock,PROFESSIONAL,Soccer,Premier League,ARSENAL V. NEWCASTLE
Peacock,PROFESSIONAL,Soccer,Premier League,MAN UNITED V. CHELSEA
Peacock,PROFESSIONAL,Soccer,Premier League,MEN IN BLAZERS ANNUAL JOHN OLIVER MID-SEASON REVIEW
Peacock,PROFESSIONAL,Soccer,Premier League,PL UPDATE: BURNLEY 'LET DOWN' BY VAR V. LUTON TOWN
Peacock,PROFESSIONAL,Soccer,Premier League,DANIEL LEVY
Peacock,PROFESSIONAL,Soccer,Premier League,EXTENDED HLS: FULHAM V. WOLVES MATCHWEEK 13
NBC App,PROFESSIONAL,Soccer,Premier League,PL UPDATE: FULHAM SHOCK TOTTENHAM
Peacock,PROFESSIONAL,Soccer,Premier League,EVERY TOUCH: GARNACHO SETS UP BOTH MAN UTD GOALS
Peacock,PROFESSIONAL,Soccer,Premier League,PL UPDATE: ASTON VILLA OUTWIT ARSENAL
NBC Sports App TVE,PROFESSIONAL,Ice Hockey,NHL,PHILADELPHIA FLYERS AT BOSTON BRUINS
NBC Sports App TVE,PROFESSIONAL,Ice Hockey,NHL,FLYERS POSTGAME LIVE
NBC App,PROFESSIONAL,Golf,PGA,ARNOLD PALMER INVITATIONAL - RD 2
Peacock,PROFESSIONAL,Soccer,Premier League,MITOMA'S DAZZLING RUN GIVES BRIGHTON LEAD WOLVES
Peacock,COLLEGE,Football,NCAA-BIG10,TENNESSEE VS. WISCONSIN - 2024-03-18
Peacock,PROFESSIONAL,Soccer,Premier League,BRIGHTON V. LUTON TOWN HIGHLIGHTS
Peacock,PROFESSIONAL,Soccer,Premier League,EXTENDED HLS: BRENTFORD V. ASTON VILLA MWK 17
Peacock,PROFESSIONAL,Soccer,Premier League,JENNA BUSH HAGER ON THE POWER OF READING
Peacock,COLLEGE,Football,NCAA-BIG10,AUGUSTANA VS. NOTRE DAME - 2024-03-18
Peacock,PROFESSIONAL,Soccer,Premier League,EXTENDED HLS: LIVERPOOL V. MAN CITY MATCHWEEK 28
Peacock,PROFESSIONAL,Soccer,Premier League,"EVERY TOUCH: GUSTO POCKETS DOKU, MANCHESTER CITY"
Peacock,PROFESSIONAL,Basketball,NBA,IS CLARK'S SHIFT TO WNBA A 'MOMENT OR A MOVEMENT'?
Peacock,PROFESSIONAL,Soccer,Premier League,BEST OF THE 2022-23 PREMIER LEAGUE SEASON
Peacock,PROFESSIONAL,Basketball,NBA,ZION IS THE 'MARQUEE NAME' NBA DUNK CONTEST NEEDS
Peacock,PROFESSIONAL,Soccer,Premier League,ARSENAL V. MAN CITY
Peacock,PROFESSIONAL,Soccer,Premier League,EXTENDED HLS: ASTON VILLA V. NEWCASTLE MWK 22
Peacock,PROFESSIONAL,Soccer,Premier League,PL UPDATE: MAN UNITED STORM BACK V. ASTON VILLA
Peacock,COLLEGE,Football,NCAA-BIG10,MINNESOTA VS. NOTRE DAME - 2024-03-19
NBC Sports App TVE,PROFESSIONAL,Basketball,NBA,CHICAGO BULLS VS. GOLDEN STATE WARRIORS
Peacock,PROFESSIONAL,Soccer,Premier League,ANGE POSTECOGLOU AND KEVIN DE BRUYNE SPECIAL
Peacock,PROFESSIONAL,Soccer,Premier League,RECAPPING THE 2023 PREMIER LEAGUE SUMMER SERIES
Peacock,PROFESSIONAL,Soccer,Premier League,GAME MODE: ARSENAL V. MAN CITY
Peacock,PROFESSIONAL,Soccer,Premier League,HOWE HAS EARNED PREMIER LEAGUE MANAGER OF THE YEAR
Peacock,PROFESSIONAL,Soccer,Premier League,JOHN OLIVER END OF SEASON SPECIAL
usanetwork.com,PROFESSIONAL,Ice Hockey,NHL,NBC NEWS DAILY WITH KATE SNOW AND ZINHLE ESSAMUAH
Peacock,PROFESSIONAL,Soccer,Premier League,PL REVIEW: 3.17.24
Peacock,PROFESSIONAL,Soccer,Premier League,WE GO AGAIN
Peacock,PROFESSIONAL,Basketball,NBA,"POPULAR MATHEMATICS: THE PENGUIN, SIX PINTS OF GUINNESS, THE BOSTON CELTICS MASCOT"
usanetwork.com,PROFESSIONAL,Basketball,NBA,CELTICS VS PISTONS
Peacock,PROFESSIONAL,Soccer,Premier League,SHOTZI BATTLES CHELSEA GREEN
Peacock,PROFESSIONAL,Golf,PGA,THE PLAYERS: ROUND 2
Peacock,PROFESSIONAL,Soccer,Premier League,TONEY SHOWCASED 'PASSION' IN RETURN FOR BRENTFORD
Peacock,PROFESSIONAL,Baseball,MLB,CONTINÚA LA ACCIÓN DE LA MLB CON EL JUEGO 6
Peacock,COLLEGE,Football,NCAA-BIG10,IOWA VS. MICHIGAN STATE - 2024-03-17
Peacock,PROFESSIONAL,Soccer,Premier League,GOALS GALORE WHEN LIVERPOOL VISIT NEWCASTLE?
Peacock,PROFESSIONAL,Soccer,Premier League,CHELSEA 'HAVE GONE BACKWARDS' UNDER POCHETTINO
Peacock,PROFESSIONAL,Soccer,Premier League,PREMIER LEAGUE: EVERY GOAL FROM MATCHWEEK 13
Peacock,PROFESSIONAL,Soccer,Premier League,CHELSEA V. LIVERPOOL (ESPAÑOL)
NBC Sports App TVE,PROFESSIONAL,Basketball,NBA,CELTICS POSTGAME PLUS
Peacock,PROFESSIONAL,Soccer,Premier League,EVERY TOUCH BY WERNER IN SPURS DEBUT V. MAN UNITED
Peacock,COLLEGE,Football,NCAA-BIG10,MICHIGAN STATE VS. NOTRE DAME - 2024-03-18
NBC App,PROFESSIONAL,Golf,PGA,PGA TOUR: THE CUT
Peacock,PROFESSIONAL,Soccer,Premier League,WEST HAM UNITED V. BRIGHTON HIGHLIGHTS
NBC Sports App TVE,PROFESSIONAL,Basketball,NBA,SAN ANTONIO SPURS VS. GOLDEN STATE WARRIORS
Peacock,PROFESSIONAL,Soccer,Premier League,EXTENDED HLS: WOLVES V. CHELSEA MATCHWEEK 18
Peacock,COLLEGE,Football,NCAA-NOTRE DAME,HANDING OUT NOTRE DAME MIDSEASON AWARDS
NBC Sports App TVE,PROFESSIONAL,Basketball,NBA,NEW ORLEANS PELICANS AT PHILADELPHIA 76ERS
Peacock,PROFESSIONAL,Soccer,Premier League,CHELSEA CELEBRATE PREMIER LEAGUE SUMMER SERIES WIN
nbc.com,PROFESSIONAL,Basketball,NBA,NEW YORK KNICKS VS. GOLDEN STATE WARRIORS
Peacock,COLLEGE,Football,NCAA-BIG10,IOWA VS. MICHIGAN STATE - 2024-03-19
NBC Sports App TVE,PROFESSIONAL,Ice Hockey,NHL,SAN JOSE SHARKS AT PHILADELPHIA FLYERS
Peacock,PROFESSIONAL,Soccer,Premier League,EVERY TOUCH: MAC ALLISTER CREATES LIVERPOOL WINNER
nbc.com,PROFESSIONAL,Golf,Ladies European Tour,"ARAMCO TEAM SERIES - TAMPA, FINAL ROUND"
Peacock,PROFESSIONAL,Golf,PGA,"HIGHLIGHTS: THE PLAYERS CHAMPIONSHIP, ROUND 1"
Peacock,PROFESSIONAL,Soccer,Premier League,MANCHESTER UNITED LOOKED 'FLAT' AGAINST TOTTENHAM
Peacock,PROFESSIONAL,Golf,PGA,MY U.S. OPEN: GEOFF OGILVY
NBC Sports App TVE,PROFESSIONAL,Basketball,NBA,PHILADELPHIA 76ERS AT BROOKLYN NETS
USA App,PROFESSIONAL,Soccer,Premier League,MAN UNITED V. EVERTON
nbc.com,PROFESSIONAL,Basketball,NBA,CHICAGO BULLS PREGAME LIVE
Peacock,PROFESSIONAL,Soccer,Premier League,CHELSEA V. BRIGHTON HIGHLIGHTS
USA App,PROFESSIONAL,Golf,PGA,JONSSON WORKWEAR OPEN - RD 1
NBC Sports App TVE,COLLEGE,Football,NCAA-NOTRE DAME,PITTSBURGH VS. NOTRE DAME
Peacock,PROFESSIONAL,Soccer,Premier League,EXTENDED HLS: BRENTFORD V. MAN CITY MATCHWEEK 23
Peacock,PROFESSIONAL,Soccer,Premier League,EVERY TOUCH BY BRADLEY IN REDS' WIN V. BOURNEMOUTH
Peacock,PROFESSIONAL,Soccer,Premier League,MORNING NEWS NOW C 3.18.24
Peacock,COLLEGE,Football,NCAA-BIG10,INDIANA VS. WISCONSIN - 2024-03-19
Peacock,PROFESSIONAL,Soccer,Premier League,TOTTENHAM V. CRYSTAL PALACE
NBC Sports App TVE,PROFESSIONAL,Basketball,NBA,CELTICS AT JAZZ
Peacock,PROFESSIONAL,Soccer,Premier League,"MATT TURNER, ANTONEE ROBINSON, BILL FOLEY"
Peacock,PROFESSIONAL,Soccer,Premier League,REAM DETAILS RECOVERY FROM INJURY AHEAD OF SEASON
Peacock,PROFESSIONAL,Soccer,Premier League,ARSENAL WIN 'DEFINING' MATCH AGAINST LIVERPOOL
Peacock,PROFESSIONAL,Soccer,Premier League,FULHAM V. LEICESTER CITY HIGHLIGHTS
NBC Sports App TVE,PROFESSIONAL,Soccer,Premier League,EXTENDED HLS: MAN CITY V. BRENTFORD MATCHWEEK 25
Peacock,COLLEGE,Football,NCAA-BIG10,MICHIGAN VS. PURDUE - 2024-03-19
Peacock,PROFESSIONAL,Soccer,Premier League,EXTENDED HLS: FOREST V. TOTTENHAM MATCHWEEK 17
Peacock,COLLEGE,Football,NCAA-BIG10,IOWA VS. PURDUE - 2024-03-19
Peacock,PROFESSIONAL,Soccer,Premier League,TEN HAG AND MAN UNITED PLAYERS HAVE 'NO TRUST'
Peacock,PROFESSIONAL,Golf,PGA,MEMORABLE MOMENTS FROM THE PLAYERS CHAMPIONSHIP
Peacock,PROFESSIONAL,Golf,PGA,USGA FILMS: S1 E11
NBC Sports App TVE,PROFESSIONAL,Ice Hockey,NHL,KINGS POSTGAME LIVE
USA App,PROFESSIONAL,Soccer,Premier League,-
Peacock,PROFESSIONAL,Baseball,MLB,PARENTS BUYING HOMES FOR THEIR CHILDREN AS AFFORDABILITY PLUMMETS
Peacock,PROFESSIONAL,Soccer,Premier League,BOWEN'S HAT-TRICK FOR WEST HAM AGAINST BRENTFORD
Peacock,PROFESSIONAL,Soccer,Premier League,PL AND ATLANTA UNITED
Peacock,PROFESSIONAL,Golf,PGA,1995 U.S. OPEN FILM: COREY PAVIN
NBC Sports App TVE,PROFESSIONAL,Basketball,NBA,MIAMI HEAT AT PHILADELPHIA 76ERS
Peacock,COLLEGE,Football,NCAA-BIG10,INDIANA VS. WISCONSIN - 2024-03-18
USA App,PROFESSIONAL,Soccer,Premier League,BRENTFORD V. LIVERPOOL
Peacock,COLLEGE,Football,NCAA-BIG10,MAINE VS. MINNESOTA - 2024-03-19
Peacock,PROFESSIONAL,Soccer,Premier League,FULHAM V. TOTTENHAM
Peacock,PROFESSIONAL,Soccer,Premier League,PL UPDATE: ARSENAL OUTGUN BLADES IN 6-0 ROUT
Peacock,PROFESSIONAL,Soccer,Premier League,LIVERPOOL V. MAN CITY
Peacock,PROFESSIONAL,Golf,PGA,FUZZY ZOELLER
Peacock,PROFESSIONAL,Soccer,Premier League,PL UPDATE: FODEN'S MAGIC TOO MUCH FOR MAN UNITED
Peacock,PROFESSIONAL,Golf,PGA,PGA TOUR POLICY BOARD COULD MEET SAUDI INVESTORS
Peacock,PROFESSIONAL,Soccer,Premier League,EVERY TOUCH: HAVERTZ PUNISHES BLADES IN 6-0 WIN
Peacock,PROFESSIONAL,Soccer,Premier League,EXTENDED HLS: WOLVES V. BRENTFORD MATCHWEEK 24
Peacock,PROFESSIONAL,Soccer,Premier League,NETBUSTERS: 2.19.24
Peacock,PROFESSIONAL,Soccer,Premier League,EVERY TOUCH BY MILEY IN NEWCASTLE'S WIN V. FULHAM
NBC Sports App TVE,PROFESSIONAL,Soccer,Premier League,FOFANA DOUBLES BURNLEY'S LEAD OVER BRENTFORD
Peacock,PROFESSIONAL,Soccer,Premier League,ASTON VILLA V. TOTTENHAM
nbc.com,PROFESSIONAL,Ice Hockey,NHL,NBC NEWS DAILY WITH KATE SNOW AND ZINHLE ESSAMUAH
Peacock,COLLEGE,Football,NCAA-BIG10,IOWA VS. OHIO STATE - 2024-03-18
Peacock,PROFESSIONAL,Soccer,Premier League,EXTENDED HLS: FULHAM V. ASTON VILLA MATCHWEEK 25
Peacock,PROFESSIONAL,Soccer,Premier League,MEN IN BLAZERS SEASON EIGHT PREMIERE WITH RAFA BENÍTEZ
Peacock,PROFESSIONAL,Golf,PGA,MY U.S. OPEN: S1 E7
Peacock,PROFESSIONAL,Soccer,Premier League,ASTON VILLA V. BOURNEMOUTH HIGHLIGHTS
NBC App,PROFESSIONAL,Soccer,Premier League,VILLA WASTE OPPORTUNITY IN DRAW WITH WEST HAM
Peacock,PROFESSIONAL,Soccer,Premier League,EXTENDED HLS: WEST HAM V. ARSENAL MATCHWEEK 24
Peacock,PROFESSIONAL,Soccer,Premier League,CHELSEA GREEN & PIPER NIVEN DEFEND THEIR TITLES
Peacock,PROFESSIONAL,Golf,PGA,2017 U.S. OPEN FILM: GOLF'S NEWEST STAR
Peacock,COLLEGE,Football,NCAA-BIG10,OHIO STATE VS. MICHIGAN STATE - 2024-03-19
nbc.com,PROFESSIONAL,Ice Hockey,NHL,SAN JOSE SHARKS VS. CHICAGO BLACKHAWKS
Peacock,PROFESSIONAL,Soccer,Premier League,"TOP GOALS, SKILLS AND SAVES: MATCHWEEK 7 (2023-24)"
Peacock,PROFESSIONAL,Soccer,Premier League,SPECIAL GUESTS PETER DRURY & THE LUMINEERS JEREMIAH FRAITES
usanetwork.com,PROFESSIONAL,Golf,LPGA,"ARAMCO TEAM SERIES - TAMPA, SECOND ROUND"
USA App,PROFESSIONAL,Golf,LPGA,"ARAMCO TEAM SERIES - TAMPA, FINAL ROUND"
Peacock,PROFESSIONAL,Soccer,Premier League,EXTENDED HLS: CHELSEA V. NEWCASTLE MATCHWEEK 28
Peacock,PROFESSIONAL,Soccer,Premier League,BRIGHTON V. NOTT'M FOREST
Peacock,PROFESSIONAL,Soccer,Premier League,EXTENDED HLS: NEWCASTLE V. WOLVES MATCHWEEK 27
Peacock,PROFESSIONAL,Soccer,Premier League,NETBUSTERS: 12.28.23
Peacock,PROFESSIONAL,Soccer,Premier League,HOWE REFLECTS ON 'STRANGE GAME' AGAINST CHELSEA
Peacock,PROFESSIONAL,Soccer,Premier League,EVERY TOUCH BY FODEN IN 3-1 WIN V. BRENTFORD
Peacock,PROFESSIONAL,Soccer,Premier League,"POPE, BURN & MUSTOE MEET BARCLAYS GOAL-E MEMBERS"
NBC App,PROFESSIONAL,Basketball,NBA,PORTLAND TRAIL BLAZERS AT CHICAGO BULLS
USA App,PROFESSIONAL,Soccer,Premier League,FERNANDES VOLLEYS MAN UNITED IN FRONT OF BURNLEY
NBC Sports App TVE,PROFESSIONAL,Basketball,NBA,DALLAS MAVERICKS AT CHICAGO BULLS
NBC Sports App TVE,PROFESSIONAL,Soccer,Premier League,WEST HAM V. BRENTFORD
Peacock,PROFESSIONAL,Soccer,Premier League,PL RAW: DOMINANT LIVERPOOL DENIED BY MAN UNITED
Peacock,COLLEGE,Football,NCAA-BIG10,MARYLAND VS. WISCONSIN - 2024-03-17
NBC Sports App TVE,PROFESSIONAL,Soccer,Premier League,BRUUN LARSEN PUTS BURNLEY IN FRONT OF BRENTFORD
Peacock,PROFESSIONAL,Soccer,Premier League,EXTENDED HLS: WOLVES V. SHEFFIELD UNITED MWK 26
Peacock,PROFESSIONAL,Soccer,Premier League,USMNT WATCH: ALL HIGHLIGHTS FROM MATCHWEEK 23
Peacock,PROFESSIONAL,Soccer,Premier League,LOWE DOWN: LIVERPOOL ARE PREMIER LEAGUE FAVORITES
NBC Sports App TVE,PROFESSIONAL,Basketball,NBA,GOLDEN STATE WARRIORS AT DALLAS MAVERICKS
Peacock,PROFESSIONAL,Golf,PGA,COREY PAVIN
Peacock,PROFESSIONAL,Soccer,Premier League,AJER GIVES BRENTFORD LIFELINE AGAINST FULHAM
Peacock,PROFESSIONAL,Soccer,Premier League,LIVERPOOL'S CARABAO CUP WIN 'A MASSIVE STATEMENT'
Peacock,PROFESSIONAL,Golf,PGA,"PGA TOUR ADVANCING NEGOTIATIONS WITH SSG, PIF"
Peacock,PROFESSIONAL,Soccer,Premier League,"PL UPDATE: MAN CITY, LIVERPOOL BATTLE TO DRAW"
nbc.com,PROFESSIONAL,Golf,PGA,GOLF TODAY
Peacock,PROFESSIONAL,Soccer,Premier League,POCHETTINO: CHELSEA 'NEED TO KEEP PUSHING'
NBC Sports App TVE,PROFESSIONAL,Golf,PGA,THE PLAYERS CHAMPIONSHIP
NBC App,PROFESSIONAL,Golf,PGA,"PUERTO RICO OPEN, FINAL ROUND"
Peacock,PROFESSIONAL,Soccer,Premier League,PL REVIEW: 11.6.23
Peacock,COLLEGE,Football,NCAA-BIG10,MOREHEAD STATE VS. PENN STATE - 2024-03-18
Peacock,PROFESSIONAL,Ice Hockey,NHL,ASSAULT CHARGES AGAINST BOSTON BRUINS' MILAN LUCIC DROPPED
NBC Sports App TVE,PROFESSIONAL,Soccer,Premier League,LOWE DOWN: PREMIER LEAGUE FAN FEST PREVIEW
Peacock,PROFESSIONAL,Soccer,Premier League,WEST HAM V. BURNLEY
Peacock,PROFESSIONAL,Soccer,Premier League,PL UPDATE: MANCHESTER CITY EDGE PAST BRENTFORD
NBC Sports App TVE,PROFESSIONAL,Ice Hockey,NHL,DALLAS STARS VS. SAN JOSE SHARKS
Peacock,COLLEGE,Football,NCAA-BIG10,MICHIGAN VS. MICHIGAN STATE - 2024-03-19
Peacock,PROFESSIONAL,Soccer,Premier League,PREMIER LEAGUE: EVERY GOAL FROM MATCHWEEK 15
Peacock,COLLEGE,Football,NCAA-BIG10,WISCONSIN VS. INDIANA - 2024-03-18
Peacock,PROFESSIONAL,Golf,PGA,TIGER AND ROCCO
Peacock,PROFESSIONAL,Soccer,Premier League,EXTENDED HLS: BURNLEY V. LIVERPOOL MATCHWEEK 19
Peacock,PROFESSIONAL,Baseball,MLB,NEW MLB RULES SPARKING SOME CONTROVERSY AT SPRING TRAINING
Peacock,PROFESSIONAL,Soccer,Premier League,EXTENDED HLS: ASTON VILLA V. SHEFFIELD UTD MWK 18
Peacock,PROFESSIONAL,Golf,PGA,THE PLAYERS: ROUND 1
Peacock,COLLEGE,Football,NCAA-BIG10,UNITED STATES VS. GHANA (ESPAÑOL) - 2024-03-19
nbc.com,PROFESSIONAL,Baseball,MLB,TORONTO BLUE JAYS AT PHILADELPHIA PHILLIES
Peacock,PROFESSIONAL,Basketball,NBA,ARENAS: NBA SHOULD 'LEAVE THE GAME THE WAY IT IS'
Peacock,PROFESSIONAL,Soccer,Premier League,PORTUGAL'S PREMIER LEAGUE PEDIGREE
Peacock,COLLEGE,Football,NCAA-BIG10,TEXAS A&M VS. OHIO STATE - 2024-03-18
Peacock,PROFESSIONAL,Soccer,Premier League,"EXTENDED HLS: BURNLEY 2, BRENTFORD 1"
Peacock,PROFESSIONAL,Soccer,Premier League,MAURICIO POCHETTINO SPECIAL
NBC Sports App TVE,PROFESSIONAL,Basketball,NBA,DENVER NUGGETS VS. GOLDEN STATE WARRIORS
Peacock,PROFESSIONAL,Soccer,Premier League,RAQUEL RODRIGUEZ DISMANTLES CHELSEA GREEN
NBC App,PROFESSIONAL,Basketball,NBA,SWIMMING WITH SOCKS
NBC App,PROFESSIONAL,Basketball,NBA,MILWAUKEE BUCKS VS. SACRAMENTO KINGS
Peacock,PROFESSIONAL,Golf,PGA,TOM WATSON
Peacock,PROFESSIONAL,Soccer,Premier League,EXTENDED HLS: EVERTON V. ASTON VILLA MATCHWEEK 21
Peacock,PROFESSIONAL,Soccer,Premier League,STEVEN REID
Peacock,COLLEGE,Football,NCAA-BIG10,UTSA VS. MINNESOTA - 2024-03-19
NBC Sports App TVE,PROFESSIONAL,Basketball,NBA,MIAMI HEAT VS. GOLDEN STATE WARRIORS
NBC Sports App TVE,PROFESSIONAL,Soccer,Premier League,VILLA WASTE OPPORTUNITY IN DRAW WITH WEST HAM
usanetwork.com,COLLEGE,Football,NCAA-BIG10,LA SALLE VS. ST. BONAVENTURE - 2024-03-20
Peacock,PROFESSIONAL,Soccer,Premier League,LEICESTER V. BOURNEMOUTH HIGHLIGHTS
Peacock,COLLEGE,Football,NCAA-BIG10,LE MOYNE VS. PENN STATE - 2024-03-19
Peacock,PROFESSIONAL,Soccer,Premier League,NETBUSTERS: 8.21.23
Peacock,PROFESSIONAL,Soccer,Premier League,EXTENDED HLS: LIVERPOOL V. BURNLEY MATCHWEEK 24
NBC Sports App TVE,PROFESSIONAL,Basketball,NBA,SAN ANTONIO SPURS AT PHILADELPHIA 76ERS
Peacock,PROFESSIONAL,Soccer,Premier League,PL UPDATE: SALAH LEADS LIVERPOOL PAST NEWCASTLE
Peacock,PROFESSIONAL,Soccer,Premier League,CHELSEA V. LIVERPOOL
Peacock,COLLEGE,Football,NCAA-BIG10,AUGUSTANA VS. NOTRE DAME - 2024-03-19
Peacock,PROFESSIONAL,Soccer,Premier League,ROY HODGSON SPECIAL
Peacock,COLLEGE,Football,NCAA-BIG10,INDIANA VS. PURDUE - 2024-03-18
NBC Sports App TVE,PROFESSIONAL,Basketball,NBA,DALLAS MAVERICKS VS. CHICAGO BULLS
Peacock,PROFESSIONAL,Soccer,Premier League,ARSENAL V. MAN CITY (ESPAÑOL)
USA App,PROFESSIONAL,Soccer,Premier League,LIVERPOOL VS. MANCHESTER CITY
NBC Sports App TVE,PROFESSIONAL,Golf,PGA,"2023 TRAVELERS CHAMPIONSHIP, FINAL ROUND"
Peacock,PROFESSIONAL,Soccer,Premier League,FULHAM V. CRYSTAL PALACE HIGHLIGHTS
Peacock,PROFESSIONAL,Soccer,Premier League,EXTENDED HLS: FULHAM V. TOTTENHAM MATCHWEEK 29
Peacock,PROFESSIONAL,Soccer,Premier League,PREMIER LEAGUE: EVERY GOAL FROM MATCHWEEK 27
Peacock,PROFESSIONAL,Soccer,Premier League,EXTENDED HLS: NEWCASTLE V. BOURNEMOUTH MWK 25
Peacock,PROFESSIONAL,Soccer,Premier League,RAFA BENITEZ
NBC Sports App TVE,PROFESSIONAL,Golf,PGA,THE PLAYERS CHAMPIONSHIP - RD 2
Peacock,PROFESSIONAL,Soccer,Premier League,PETER SCHMEICHEL
Peacock,PROFESSIONAL,Soccer,Premier League,EXTENDED HLS: MAN CITY V. EVERTON MATCHWEEK 24
Peacock,PROFESSIONAL,Soccer,Premier League,EXTENDED HLS: ARSENAL V. LIVERPOOL MATCHWEEK 23
Peacock,COLLEGE,Football,NCAA-BIG10,JACKSON STATE VS. NORTHWESTERN - 2024-03-18
Peacock,PROFESSIONAL,Soccer,Premier League,NOTTINGHAM FOREST SPECIAL
